town,bldg_contract_town,country,population,latitude,longitude
Ang Mo Kio,AMK,Singapore,166820,1.36795,103.83866
Bukit Batok,BB,Singapore,139270,1.3494,103.7527
Bedok,BD,Singapore,289750,1.32805,103.95011
Bishan,BH,Singapore,90700,1.34862,103.849508
Bukit Merah,BM,Singapore,152790,1.281906,103.823919
Bukit Panjang,BP,Singapore,139030,1.37015,103.76544
Bukit Timah,BT,Singapore,74470,1.3404,103.7722
Choa Chu Kang,CCK,Singapore,186580,1.38614,103.74617
Clementi,CL,Singapore,91630,1.31441,103.76538
Central Area,CT,Singapore,939890,1.300556,103.821667
Geylang,GL,Singapore,116960,1.320556,103.886944
Hougang,HG,Singapore,224390,1.37114,103.89144
Jurong East,JE,Singapore,84980,1.34992,103.72879
Jurong West,JW,Singapore,267840,1.3445,103.706817
Kallang,KWN,Singapore,101210,1.31083,103.86556
Marine Parade,MP,Singapore,48730,1.303056,103.907778
Punggol,PG,Singapore,146640,1.398278,103.908972
Pasir Ris,PRC,Singapore,139890,1.37194,103.94994
Queenstown,QT,Singapore,98050,1.294167,103.786128
Sembawang,SB,Singapore,76530,1.449111,103.818494
Serangoon,SGN,Singapore,120670,1.35554,103.8766
Sengkang,SK,Singapore,232100,1.39246,103.89459
Tampines,TAP,Singapore,258310,1.36819,103.92948
Tengah,TG,Singapore,10,1.3555,103.7308
Toa Payoh,TP,Singapore,124940,1.33447,103.85107
Woodlands,WL,Singapore,250170,1.43585,103.78698
Yishun,YS,Singapore,210440,1.43621,103.83582
